study_id	sample_id	setup
zander	D3C_D0_1__HJLT7DSX3_19270591_S73_L002	paired
zander	D3C_D0_2__HJLT7DSX3_19270593_S92_L002	paired
zander	D3C_D0_3__HJLT7DSX3_19270595_S90_L002	paired
zander	D3C_D11_1__HJLT7DSX3_19270603_S96_L002	paired
zander	D3C_D11_2__HJLT7DSX3_19270605_S84_L002	paired
zander	D3C_D11_3__HJLT7DSX3_19270607_S70_L002	paired
zander	D3C_D21_1__HJLT7DSX3_19270609_S83_L002	paired
zander	D3C_D21_2__HJLT7DSX3_19270611_S68_L002	paired
zander	D3C_D21_3__HJLT7DSX3_19270613_S89_L002	paired
zander	D3C_D2_1__HJLT7DSX3_19270597_S78_L002	paired
zander	D3C_D2_2__HJLT7DSX3_19270599_S67_L002	paired
zander	D3C_D2_3__HJLT7DSX3_19270601_S91_L002	paired
zander	D3C_D25_1__HJLT7DSX3_19270615_S81_L002	paired
zander	D3C_D25_2__HJLT7DSX3_19270617_S102_L002	paired
zander	D3C_D25_3__HJLT7DSX3_19270645_S80_L002	paired
zander	D3C_D40_1__HJLT7DSX3_19270647_S99_L002	paired
zander	D3C_D40_2__HJLT7DSX3_19270649_S77_L002	paired
zander	D3C_D40_3__HJLT7DSX3_19270651_S88_L002	paired
zander	TJP1_D0_1__HJLT7DSX3_19270653_S79_L002	paired
zander	TJP1_D0_2__HJLT7DSX3_19270655_S69_L002	paired
zander	TJP1_D0_3__HJLT7DSX3_19270657_S87_L002	paired
zander	TJP1_D10_1__HJLT7DSX3_19270635_S71_L002	paired
zander	TJP1_D10_2__HJLT7DSX3_19270637_S72_L002	paired
zander	TJP1_D10_3__HJLT7DSX3_19270639_S86_L002	paired
zander	TJP1_D20_1__HJLT7DSX3_19270641_S97_L002	paired
zander	TJP1_D20_2__HJLT7DSX3_19270643_S74_L002	paired
zander	TJP1_D20_3__HJLT7DSX3_19270619_S76_L002	paired
zander	TJP1_D2_1__HJLT7DSX3_19270659_S98_L002	paired
zander	TJP1_D2_2__HJLT7DSX3_19270661_S82_L002	paired
zander	TJP1_D2_3__HJLT7DSX3_19270633_S75_L002	paired
zander	TJP1_D25_1__HJLT7DSX3_19270621_S85_L002	paired
zander	TJP1_D25_2__HJLT7DSX3_19270623_S100_L002	paired
zander	TJP1_D25_3__HJLT7DSX3_19270625_S95_L002	paired
zander	TJP1_D40_1__HJLT7DSX3_19270627_S94_L002	paired
zander	TJP1_D40_2__HJLT7DSX3_19274365_S101_L002	paired
zander	TJP1_D40_3__HJLT7DSX3_19270631_S93_L002	paired
